Movie_Name,Total_Dialogues,Total_Words,Positive_Emotion,Negative_Emotion,Overall_Vibe,Budget,Revenue,Is_Sequel,Holiday_Release,Genre,Is_A_Rated,Runtime,Director,Actors
Aabra Ka Daabra (tt1137434),2104,8502,0.182,0.075,1,8,1.06,0,0,Fantasy,0,98,Hardik Gajjar,"Apoorva Arora, Kabir Bedi, Shah Bhavya"
Aachari Baa (tt36129120),958,4550,0.166,0.094,1,3,5,0,0,Drama,0,114,Indrajit Nattoji,"Neha Sharma, Ila Arun, Namit Das"
Aafat-E-Ishq (tt12631660),1431,5966,0.176,0.116,1,6,4.21,0,0,"Comedy, Drama, Thriller",1,117,"Indrajit Nattoji, Inderjeet Singh","Shreyas Talpade, Mahie Gill, Karanveer Mehra"
Aagey Se Right (tt1479667),546,2600,0.095,0.145,-1,6.5,8.78,0,0,"Comedy, Crime, Drama",0,153,Yogesh Ishwar,"Suniel Shetty, Sushmita Sen, Namrata Shirodkar"
Aaghaaz (tt0254927),1770,8973,0.121,0.141,-1,6.5,7.52,0,0,"Action, Crime, Drama",0,128,Imran Khalid,"Kasam Ali, Mithun Chakraborty, Gajendra Chauhan"
Aaj Ka Ravan (tt0437058),1509,6680,0.129,0.119,0.931,25,20.75,0,0,"Action, Crime",1,137,Anil Mehta,"Madhuri Dixit, Darshan Jariwala, Raghubir Yadav"
Aaja Nachle (tt0986213),1762,8208,0.139,0.099,1,4,0.67,0,0,"Drama, Family, Music",0,137,Deepak Kumar Bandhu,"Paul Sidhu, Sumona Chakravarti, Anant Jog"
Aakhari Decision (tt1606162),1723,7319,0.144,0.098,1,38,20.42,0,0,"Action, Drama, Thriller",1,139,Priyadarshan,"Ajay Devgn, Akshaye Khanna, Bipasha Basu"
Aakrosh (tt1708453),2536,11255,0.131,0.122,0.991,5,10.54,0,0,"Action, Crime, Drama",1,150,"K. Raghavendra Rao, A.S. Ravindra Babu","Govinda, Juhi Chawla, Tabu"
Aamdani Atthanni Kharcha Rupaiya (tt0305173),1797,8650,0.142,0.103,1,5,9,0,1,"Comedy, Drama, Family",0,99,Raj Kumar Gupta,"Rajeev Khandelwal, Mukesh Agrohari, Supavitra Babul"
Aamir (tt1241195),921,4300,0.124,0.087,0.999,15,14.4,0,0,"Action, Crime, Drama",1,149,Madhur Bhandarkar,"Akshay Kumar, Shatrughan Sinha, Suniel Shetty"
Aan Men at Work (tt0363409),2746,13288,0.126,0.103,1,15,29.44,0,0,"Action, Crime, Drama",0,165,Vipul Amrutlal Shah,"Amitabh Bachchan, Akshay Kumar, Sushmita Sen"
Aankhen (tt0306434),2372,10414,0.122,0.128,-0.999,35,1.71,0,0,"Crime, Drama, Thriller",0,140,Santosh Singh,"Shanaya Kapoor, Vikrant Massey, Zain Khan Durrani"
Aankhon Ki Gustaakhiyan (tt28812582),2272,10331,0.191,0.1,1,5.75,0.17,0,0,Romance,0,140,Glen Barretto,"Aftab Shivdasani, Aamna Sharif, Rati Agnihotri"
Aap Jaisa Koi (tt33888131),1817,8347,0.163,0.099,1,20,6.72,0,0,"Drama, Romance",0,122,Dharmesh Darshan,"Akshaye Khanna, Priyanka Chopra Jonas, Ameesha Patel"
Aap Ki Khatir (tt0810058),2809,12696,0.217,0.086,1,11.5,19.21,0,0,"Comedy, Romance",0,180,Vikram Bhatt,"Hrithik Roshan, Ameesha Patel, Kiran Kumar"
Aap Mujhe Achche Lagne Lage (tt0247911),1575,7329,0.16,0.109,1,53,40,0,0,"Action, Drama, Romance",0,164,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee"
Aarakshan (tt1848771),3270,15350,0.166,0.084,1,18,3.47,0,1,"Drama, Thriller",0,120,Nagesh Kukunoor,"John Abraham, Anaitha Nair, Girish Karnad"
Aashayein (tt1227524),871,4063,0.179,0.136,1,9,15.68,0,0,Drama,0,160,Indra Kumar,"Bobby Deol, Karisma Kapoor, Rahul Dev"
Aashiq (tt0273406),1741,7853,0.148,0.123,1,15,109,0,1,"Action, Drama, Romance",0,132,Mohit Suri,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa"
Aashiqui 2 (tt2203308),2053,8437,0.157,0.114,1,15,8.34,1,0,"Drama, Music, Musical",0,107,Deepak Ramsay,"Kapil Jhaveri, Shabana Raza, Ranjha Vikram Singh"
Aatma (tt0989605),1420,5708,0.193,0.112,1,5,0.22,0,0,"Crime, Drama, Horror",1,137,Pradip Khairwar,"Kashika Kapoor, Anuj Saini, Atul Srivastava"
Aayushmati Geeta Matric Pass (tt27252585),1850,9297,0.16,0.154,0.994,33,2.6,0,0,Drama,0,125,Prashant Chadha,"Sachiin Joshi, Candice Boucher, Arya Babbar"
Aazaan (tt2033947),728,2396,0.109,0.096,0.988,33,0.3,0,0,"Action, Musical, Thriller",1,120,Shravan Tiwari,"Jimmy Shergill, Abhimanyu Singh, Indraneil Sengupta"
Aazam (tt22932536),2304,10544,0.11,0.147,-1,1.5,0.51,0,0,"Crime, Drama, Mystery",1,78,Deepak Tanwar,"Saurabh Malik, Rekha Rana, Onkar Das Manikpuri"
Ab Hoga Dharna Unlimited (tt2353775),1383,9895,0.192,0.096,1,5.25,5.18,0,0,Comedy,0,79,Raj Kanwar,"Arya Babbar, Amrita Rao, Ashutosh Rana"
Ab Ke Baras (tt0321067),3018,12744,0.184,0.141,1,16.5,6.9,0,0,"Action, Romance, Thriller",0,106,Aejaz Gulab,"Nana Patekar, Mohan Agashe, Gul Panag"
Ab Tak Chhappan 2 (tt2202086),1698,7778,0.147,0.11,1,20,19.16,1,0,"Action, Crime, Thriller",1,193,"Anil Sharma, Sanjay Sharma","Amitabh Bachchan, Akshay Kumar, Bobby Deol"
Ab Tumhare Hawale Watan Saathiyo (tt0397882),2205,10689,0.147,0.132,1,21,5.2,0,1,"Action, Drama, War",0,108,Suparn Varma,"Fardeen Khan, Dia Mirza, Manoj Bajpayee"
Acid Factory (tt1201557),1630,7161,0.125,0.131,-0.999,60,48.66,0,0,"Action, Crime, Mystery",1,129,Vipul Amrutlal Shah,"Akshay Kumar, Aishwarya Rai Bachchan, Aditya Roy Kapoor"
Action Replayy (tt1396208),2531,11144,0.177,0.117,1,92,24,0,1,"Comedy, Romance, Sci-Fi",0,158,Karan Johar,"Ranbir Kapoor, Aishwarya Rai Bachchan, Anushka Sharma"
Ae Dil Hai Mushkil (tt4559006),2162,8878,0.216,0.104,1,90,240,0,1,"Drama, Music, Musical",0,133,Kannan Iyer,"Sara Ali Khan, Alexx O'Nell, Emraan Hashmi"
Ae Watan Mere Watan (tt19864942),2129,9176,0.128,0.129,-0.947,9.5,7.96,0,0,"Biography, Drama, History",0,152,Vikram Bhatt,"Amitabh Bachchan, John Abraham, Bipasha Basu"
Aetbaar (tt0377340),1964,8726,0.14,0.122,1,9.5,7.46,0,0,"Action, Drama, Musical",1,126,Sudhir Mishra,"Bhumi Pednekar, Nawazuddin Siddiqui, Sumeet Vyas"
Afwaah (tt15832148),2433,10488,0.123,0.132,-1,62,74.57,0,0,"Drama, Thriller",0,157,Sriram Raghavan,"Kareena Kapoor, Saif Ali Khan, Ravi Kishan"
Agent Vinod (tt1395025),2085,8559,0.157,0.096,1,71,194,0,0,"Action, Adventure, Thriller",0,174,Karan Malhotra,"Hrithik Roshan, Priyanka Chopra Jonas, Sanjay Dutt"
Agneepath (tt1849718),1466,6607,0.113,0.116,-0.998,5,5.93,0,1,"Action, Crime, Drama",0,130,Ram Gopal Varma,"Nithiin, Priyanka Kothari, Rasika Dugal"
Agyaat (tt1415252),1629,6997,0.194,0.122,1,5,7.32,0,0,"Adventure, Drama, Horror",1,122,Shivam Nair,"Abhay Deol, Soha Ali Khan, Shayan Munshi"
Ahista Ahista (tt0831840),1901,8701,0.131,0.079,1,44,221.57,0,0,"Drama, Romance",0,130,Raja Menon,"Akshay Kumar, Nimrat Kaur, Kumud Mishra"
Airlift (tt4387040),2131,8835,0.138,0.086,1,1,0.6,0,1,"Drama, History",0,125,Ajay Kanchan,"Rati Agnihotri, Aryan Vaid, Megha Chatterji"
Aisa Kyon Hota Hai (tt0465376),2831,11635,0.252,0.084,1,14,21.5,0,0,"Action, Crime, Drama",0,126,Rajshree Ojha,"Sonam Kapoor, Abhay Deol, Karamjeet Madonna"
Aisha (tt1509732),2296,9392,0.203,0.1,1,11,27.8,0,0,"Comedy, Drama, Romance",0,160,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Akshay Kumar, Kareena Kapoor, Priyanka Chopra Jonas"
Aitraaz (tt0418460),3598,16223,0.185,0.084,1,65,30.26,0,1,"Drama, Romance, Thriller",1,157,"Neeraj Pandey, Feroz Khan Bollybrothers","Sidharth Malhotra, Manoj Bajpayee, Rakul Preet Singh"
Aiyaary (tt6774212),762,2681,0.15,0.081,1,7.25,2.25,0,0,"Action, Crime, Drama",0,152,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant"
Aiyyaa (tt2255934),2072,8158,0.202,0.066,1,25,103,0,0,"Comedy, Romance",0,150,Rajkumar Santoshi,"Ranbir Kapoor, Katrina Kaif, Darshan Jariwala"
Ajab Prem Ki Ghazab Kahani (tt1252596),2690,12095,0.217,0.099,1,2,0.04,0,0,"Action, Comedy, Musical",0,115,Rishi Prakash Mishra,"Ajay Kumar Singh, Mukesh Chandel, Vikas Giri"
Ajab Singh Ki Gajab Kahani (tt6745804),2127,9474,0.135,0.114,1,3,0.02,0,0,Drama,0,96,"Pragati Agarwal, Amit Aseem","Romil Chaudhary, Priya Sharma, Abhimanyu Aryan"
Ajay Wardhan (tt21979516),2313,10628,0.16,0.131,1,3,0.03,0,0,"Biography, Drama",0,142,"Neeraj Ghaywan, Kayoze Irani, Rahul Kamboj","Fatima Sana Shaikh, Jaideep Ahlawat, Armaan Ralhan"
Ajeeb Daastaans (tt14091818),1901,8696,0.15,0.11,1,3.5,0.13,0,0,"Drama, Romance",1,104,Devashish Makhija,"Sushama Deshpande, Smita Tambe, Sharvani Suryavanshi"
Ajji (tt6471054),880,3961,0.104,0.112,-0.997,3.5,8.5,0,0,"Crime, Drama",1,108,Vikramaditya Motwane,"Anil Kapoor, Anurag Kashyap, Sonam Kapoor"
Akaash Vani (tt2423132),1799,8020,0.157,0.105,1,10,3.06,0,1,"Drama, Romance",0,149,Luv Ranjan,"Kartik Aaryan, Nushrratt Bharuccha, Sunny Singh"
Akelli (tt22892546),1410,5912,0.138,0.096,1,5,1.07,0,0,"Action, Drama, Thriller",1,127,Pranay Meshram,"Nushrratt Bharuccha, Amir Boutrous, Tsahi Halevi"
Akhiyon Se Goli Maare (tt0331421),2930,14486,0.119,0.103,1,5.25,4.41,0,0,"Comedy, Romance",0,146,Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan"
Aks (tt0289845),2283,10258,0.12,0.117,-0.985,11,14.3,0,0,"Action, Crime, Horror",1,184,Rakeysh Omprakash Mehra,"Amitabh Bachchan, Raveena Tandon, Manoj Bajpayee"
Aksar (tt0476729),1674,7817,0.207,0.09,1,5.25,12.18,0,0,"Drama, Romance, Thriller",1,135,Ananth Mahadevan,"Emraan Hashmi, Udita Goswami, Dino Morea"
Aksar 2 (tt5784860),1674,7817,0.207,0.09,1,9,9.2,1,0,"Crime, Drama, Mystery",1,127,Ananth Mahadevan,"Zareen Khan, Gautam Rode, Lillete Dubey"
Albela (tt0118578),2043,8666,0.148,0.097,1,10,18.81,0,0,"Comedy, Drama, Romance",0,145,Deepak Sareen,"Govinda, Aishwarya Rai Bachchan, Jackie Shroff"
Albert Pinto Ko Gussa Kyun Aata Hai (tt4355838),1473,6616,0.122,0.138,-0.999,1,0.5,0,0,Drama,1,100,Soumitra Ranade,"Manav Kaul, Nandita Das, Amarjeet Amle"
All Is Well (tt3547616),2855,11834,0.126,0.105,1,34,23,0,0,"Comedy, Drama, Romance",0,126,Umesh Shukla,"Rishi Kapoor, Abhishek Bachchan, Asin Thottumkal"
Aloo Chaat (tt1305840),2602,10762,0.127,0.077,1,10,7.01,0,0,"Comedy, Drama, Romance",0,155,Robbie Grewal,"Aftab Shivdasani, Aamna Sharif, Linda Arsenio"
Always Kabhi Kabhi (tt1937092),2621,10965,0.17,0.082,1,11,4.5,0,0,"Comedy, Crime, Drama",0,126,Roshan Abbas,"Samir Chandra, Lillete Dubey, Satyajeet Dubey"
Am I Next (tt15378284),2122,9107,0.168,0.117,1,0.2,0.2,0,0,Crime,1,85,Rahhat Shah Kazmi,"Anushka Sen, Neelu Dogra, Tariq Khan"
Amar Prem Ki Prem Kahani (tt27116571),2897,12069,0.227,0.098,1,3,4,0,0,"Comedy, Romance",0,117,Hardik Gajjar,"Sunny Singh, Aditya Seal, Pranutan Bahl"
Amar Singh Chamkila (tt26658272),2686,12375,0.146,0.123,1,15,17,0,0,"Biography, Drama, Music",0,145,Imtiaz Ali,"Diljit Dosanjh, Parineeti Chopra, Apinderdeep Singh"
Amavas (tt8396186),1433,5803,0.165,0.121,1,12,3.06,0,0,"Horror, Thriller",1,134,Bhushan Patel,"Ali Asgar, Vivan Bhatena, David Broughton"
Amdavad Junction (tt4643782),1715,7831,0.149,0.102,1,0.5,0.27,0,0,Mystery,1,95,Apurv Bajpai,"Rohan Jardosh, Ishita Salot, Gunjan Vyas"
Amit Sahni Ki List (tt3822600),1697,7546,0.201,0.101,1,7,5.66,0,0,"Comedy, Romance",0,110,Ajay Bhuyan,"Vir Das, Vega Tamotia, Anindita Nayar"
An Action Hero (tt15600222),1856,8170,0.129,0.151,-1,45,16.65,0,0,"Action, Comedy, Crime",0,130,Anirudh Iyer,"Ayushmann Khurrana, Jaideep Ahlawat, Gautam Joglekar"
Anaarkali of Aarah (tt6058394),1920,8958,0.06,0.073,-0.999,5.75,1.48,0,0,Drama,1,113,Avinash Das,"Pankaj Tripathi, Swara Bhasker, Sanjay Mishra"
Andaaz (tt0346507),334,1668,0.181,0.176,0.912,9.25,28.81,0,0,"Drama, Musical, Romance",0,145,Raj Kanwar,"Akshay Kumar, Lara Dutta, Priyanka Chopra Jonas"
Andhadhun (tt8108198),1905,8788,0.15,0.116,1,74.32,456.89,0,0,"Crime, Mystery, Thriller",0,139,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte"
Anek (tt13919802),2310,10074,0.164,0.116,1,47,11.1,0,0,"Action, Drama, Sport",0,147,Anubhav Sinha,"Ayushmann Khurrana, Andrea Kevich�sa, Manoj Pahwa"
Angrezi Medium (tt8907986),3154,13938,0.152,0.092,1,36,13.56,1,0,"Comedy, Drama",0,145,Homi Adajania,"Irrfan Khan, Radhika Madan, Kareena Kapoor"
Angry Indian Goddesses (tt3368222),1256,7285,0.152,0.135,0.999,9,2.92,0,0,"Comedy, Crime, Drama",1,115,Pan Nalin,"Amy Maghera, Rajshri Deshpande, Pavleen Gujral"
Anjaana Anjaani (tt1499201),2482,10432,0.173,0.106,1,38,69.85,0,1,"Comedy, Drama, Musical",0,151,Siddharth Anand,"Priyanka Chopra Jonas, Ranbir Kapoor, Carl Marino"
Ankahee (tt0495022),2329,10678,0.154,0.107,1,6,11,0,0,"Drama, Romance, Thriller",1,151,Vikram Bhatt,"Aftab Shivdasani, Ameesha Patel, Esha Deol"
Ankur Arora Murder Case (tt2912578),2367,10435,0.145,0.121,1,7.5,10,0,0,"Drama, Thriller",0,129,Sohail Tatari,"Kay Kay Menon, Visshesh Tiwari, Tisca Chopra"
Ansh The Deadly Part (tt0315777),3051,15672,0.154,0.13,1,1.75,1.28,0,0,"Crime, Drama, Thriller",1,180,Rajan Johri,"Om Puri, Ashutosh Rana, Abbas"
Anthony Kaun Hai (tt0800981),1398,6329,0.149,0.138,0.999,9,8.8,0,0,"Mystery, Thriller",0,127,Raj Kaushal,"Sanjay Dutt, Arshad Warsi, issha Lamba"
Antim The Final Truth (tt13491110),2598,10721,0.148,0.136,0.999,48,59.11,0,0,"Action, Crime, Drama",0,138,Mahesh Manjrekar,"Salman Khan, Aayush Sharma, Mahima Makwana"
Anwar (tt0953306),2272,10382,0.193,0.122,1,3,1.2,0,0,"Drama, Romance, Thriller",0,144,Manish Jha,"Siddharth Koirala, Nauheed Cyrusi, Manisha Koirala"
Apaharan (tt0451631),3101,14124,0.119,0.114,0.964,11,15.66,0,0,"Action, Crime, Drama",1,173,Prakash Jha,"Ajay Devgn, Nana Patekar, Bipasha Basu"
Apna Asmaan (tt1073097),3640,15299,0.134,0.101,1,3,0.17,0,0,"Drama, Sci-Fi",0,110,Kaushik Roy,"Irrfan Khan, Shobana, Dhruv Piyush Panjuani"
Apna Sapna Money Money (tt0493437),2870,11768,0.144,0.081,1,9.5,20.13,0,0,"Comedy, Musical, Romance",0,134,Sangeeth Sivan,"Riteish Deshmukh, Shreyas Talpade, Riya Sen"
Apne (tt0814014),1615,7203,0.182,0.091,1,20,39.28,0,0,"Action, Drama, Sport",0,173,Anil Sharma,"Dharmendra, Sunny Deol, Bobby Deol"
Apradhi Kaun (tt0482891),2241,10411,0.113,0.152,-1,0.5,0.27,0,0,Thriller,0,151,Mohan Bhakri,"Ram Asra, Mehak Dhanoa, Madhu"
Apurva (tt25434258),1377,5304,0.132,0.135,-0.981,5,7,0,0,"Drama, Thriller",1,95,Nikhil Nagesh Bhat,"Tara Sutaria, Rajpal Naurang Yadav, Abhishek Banerjee"
Arjun Patiala (tt7881524),2429,10314,0.163,0.115,1,25,9.26,0,0,"Action, Comedy",0,107,Rohit Jugraj,"Diljit Dosanjh, Kriti Sanon, Varun Sharma"
Arjun The Warrior Prince (tt2404027),1113,4712,0.142,0.131,0.997,7.5,2.44,0,0,"Animation, Action, Adventure",0,96,"Arnab Chaudhuri, Pavan Buragohain, K.K. Raina","Yudhveer Bakoliya, Ashok Banthia, Ravi Khanvilkar"
Armaan (tt0331851),2288,10822,0.12,0.091,1,10,14.9,0,0,"Drama, Family, Romance",0,158,Honey Irani,"Amitabh Bachchan, Anil Kapoor, Preity G Zinta"
Asambhav (tt0368580),2050,9190,0.158,0.11,1,13,5.16,0,0,"Action, Adventure, Drama",0,139,Rajiv Rai,"Arjun Rampal, Naseeruddin Shah, Priyanka Chopra Jonas"
Astitva (tt0261545),1316,6837,0.125,0.072,1,1.5,2.48,0,0,Drama,1,109,Mahesh Manjrekar,"Tabu, Sachin Khedekar, Mohnish Behl"
Ateet (tt8265146),1095,5672,0.164,0.125,1,5,1,0,0,Thriller,0,120,Tanuj Bhramar,"Rajeev Khandelwal, Priyamani, Sanjay Suri"
Atithi Bhooto Bhava (tt13892718),2907,12975,0.151,0.079,1,10,2,0,0,"Comedy, Drama, Romance",0,114,Hardik Gajjar,"Pratik Gandhi, Shar Segal, Sunil Shakya"
Atithi Tum Kab Jaoge (tt1578116),2991,12628,0.157,0.099,1,17,33,0,0,Comedy,0,155,Ashwani Dhir,"Ajay Devgn, Konkona Sen Sharma, Paresh Rawal"
Atkan Chatkan (tt12969078),1166,6134,0.173,0.065,1,5.5,6,0,0,"Drama, Musical",0,126,Shiv Hare,"Lydian Nadhaswaram, Sachin Chaudhary, Tamanna Dipak"
Atrangi Re (tt9766332),2350,10164,0.186,0.112,1,100,121,0,1,"Comedy, Drama, Fantasy",0,138,Aanand L. Rai,"Dhanush, Sara Ali Khan, Akshay Kumar"
Aurangzeb (tt2804026),1638,9745,0.111,0.126,-0.999,22,35,0,0,"Action, Drama, Thriller",1,137,Atul Sabharwal,"Arjun Kapoor, Zahrah S Khan, Prithviraj Sukumaran"
Auron Mein Kahan Dum Tha (tt26659814),2018,8609,0.13,0.087,1,100,15.79,0,0,"Action, Crime, Drama",0,150,Neeraj Pandey,"Ajay Devgn, Tabu, Jimmy Shergill"
Awara Paagal Deewana (tt0319020),2249,10875,0.101,0.121,-1,13,27.6,0,0,"Action, Comedy, Crime",0,158,Vikram Bhatt,"Akshay Kumar, Suniel Shetty, Aftab Shivdasani"
Awarapan (tt1020937),1647,7906,0.149,0.136,0.996,18,12.18,0,0,"Action, Crime, Drama",1,126,Mohit Suri,"Emraan Hashmi, Mrinalini Sharma, Ashish Vidyarthi"
Azhar (tt4906984),2993,12546,0.171,0.088,1,40,52.55,0,0,"Biography, Drama, Sport",0,130,Anthony D'Souza,"Emraan Hashmi, Nargis Fakhri, Prachi Desai"
B.A. Pass 3 (tt14490618),688,3129,0.149,0.125,0.998,20,6,1,0,"Drama, Romance",1,136,Narendra Singh,"Sunny Sachdeva, Armaan Sandhu, Ankita Sahu"
Baabul (tt0419468),1940,10340,0.195,0.104,1,26,39.56,0,0,"Drama, Family, Romance",0,169,Ravi Chopra,"Amitabh Bachchan, Salman Khan, Hema Malini"
Baadshaho (tt4906960),2102,9722,0.115,0.12,-0.998,90,125.44,0,0,"Action, Adventure, Thriller",0,136,Milan Luthria,"Ajay Devgn, Ileana D'Cruz, Emraan Hashmi"
Baaghi (tt4864932),1318,5611,0.17,0.101,1,35,129,0,0,"Action, Drama, Romance",0,133,Sabbir Khan,"Tiger Shroff, Shraddha Kapoor, Sudheer Babu Posani"
Baaghi 3 (tt8366590),2465,9782,0.13,0.118,0.999,90,137.5,1,0,"Action, Thriller",0,143,Ahmed Khan,"Tiger Shroff, Riteish Deshmukh, Shraddha Kapoor"
Baaghi 4 (tt6203702),2208,9463,0.119,0.183,-1,80,94.14,1,0,"Action, Drama, Thriller",0,157,Harsha,"Tiger Shroff, Sanjay Dutt, Harnaaz Sandhu"
Baar Baar Dekho (tt5197544),583,2517,0.189,0.071,1,53,62.6,0,0,"Action, Comedy, Drama",0,141,Nitya Mehra,"Sidharth Malhotra, Katrina Kaif, Sayani Gupta"
Baaz A Bird in Danger (tt0349115),1825,8390,0.169,0.126,1,6.2,4.8,0,0,"Mystery, Thriller",0,180,Tinnu Verma,"Jackie Shroff, Suniel Shetty, Karisma Kapoor"
Baazaar (tt6514196),1923,8646,0.164,0.082,1,34,40,0,0,"Crime, Drama, Thriller",0,137,"Gauravv K. Chawla, Samuel Wilde","Chitrangda Singh, Radhika Apte, Saif Ali Khan"
Babli Bouncer (tt19838608),1201,6322,0.114,0.108,0.999,30,5,0,0,"Comedy, Drama",0,118,Madhur Bhandarkar,"Tamannaah Bhatia, Sahil Vaid, Karan Singh Chhabra"
Babloo Bachelor (tt9448946),2514,12638,0.186,0.096,1,9,2,0,0,Comedy,0,130,Agnidev Chatterjee,"Aakkash Dabhade, Akshat, Govardhan Asrani"
Babloo Happy Hai (tt3426144),2332,16661,0.173,0.088,1,4.5,0.29,0,0,"Comedy, Drama, Romance",1,113,Nila Madhab Panda,"Sahil Anand, Erica Fernandes, Harish Chhabra"
Babumoshai Bandookbaaz (tt6711660),1957,8379,0.15,0.147,-0.885,5,18.24,0,0,"Action, Comedy, Crime",1,122,Kushan Nandy,"Nawazuddin Siddiqui, Bidita Bag, Jatin Goswami"
Baby John (tt27757805),3156,13160,0.165,0.124,1,85,59,0,1,"Action, Drama, Thriller",0,159,Kalees,"Wamiqa Gabbi, Salman Khan, Keerthy Suresh"
Bachchhan Paandey (tt10699086),3109,13424,0.156,0.144,0.998,180,74.2,0,1,"Action, Comedy, Crime",0,147,Farhad Samji,"Akshay Kumar, Kriti Sanon, Jacqueline Fernandez"
Bachke Rehna Re Baba (tt0451639),1106,5074,0.164,0.096,1,6,5.36,0,0,"Comedy, Drama, Romance",1,130,Govind Menon,"Rekha, Mallika Sherawat, Paresh Rawal"
Bachna Ae Haseeno (tt1182972),2750,12626,0.158,0.099,1,30,75,0,1,"Comedy, Drama, Romance",0,152,Siddharth Anand,"Ranbir Kapoor, Deepika Padukone, Bipasha Basu"
Bad Newz (tt24517830),3279,14310,0.222,0.096,1,80,115.25,1,0,"Comedy, Romance",0,142,Anand Tiwari,"Vicky Kaushal, Triptii Dimri, Ammy Virk"
Badal (tt0247944),2898,13116,0.145,0.163,-1,10,26.41,0,0,"Action, Crime, Drama",1,166,Raj Kanwar,"Bobby Deol, Rani Mukerji, Mayuri Kango"
Badhaai Do (tt11934846),2779,11054,0.132,0.102,1,30,28.15,1,0,"Comedy, Drama, Romance",0,147,Harshavardhan Kulkarni,"Rajkummar Rao, Bhumi Pednekar, Chum Darang"
Badhaai Ho Badhaai (tt0325041),2730,11843,0.199,0.091,1,7.75,6.04,0,0,"Comedy, Drama, Musical",0,155,Satish Kaushik,"Anil Kapoor, Rana Jung Bahadur, S.K. Batra"
Badla (tt8130968),2250,10392,0.148,0.106,1,37,138.49,0,0,"Crime, Drama, Mystery",0,118,Sujoy Ghosh,"Amitabh Bachchan, Taapsee Pannu, Antonio Aakeel"
Badlapur (tt3678782),1979,9209,0.162,0.136,1,25,103,0,0,"Action, Crime, Drama",1,134,Sriram Raghavan,"Varun Dhawan, Nawazuddin Siddiqui, Yami Gautam"
Badmaash Company (tt1602476),2440,11207,0.137,0.109,1,29,52.98,0,0,"Comedy, Crime, Drama",0,142,Parmeet Sethi,"Shahid Kapoor, Anushka Sharma, Meiyang Chang"
Badmashiyaan (tt4511416),2905,12394,0.156,0.115,1,0.75,1.03,0,0,"Comedy, Romance",0,128,Amit Khanna,"Sidhant Gupta, Suzanna Mukherjee, Gunjan Malhotra"
Badnaam Gali (tt10318332),1852,8483,0.131,0.101,1,3,5,0,0,Comedy,0,95,Ashwin Shetty,"Patralekhaa Paul, Divyendu Sharma, Dolly Ahluwalia"
Bajatey Raho (tt2848824),1723,9629,0.19,0.098,1,2,6.3,0,0,"Comedy, Drama, Thriller",0,110,Shashant Shah,"Tusshar Kapoor, Vinay Pathak, Ranvir Shorey"
Bajirao Mastani (tt3735246),1901,8760,0.171,0.095,1,145,356.2,0,1,"Action, Drama, History",0,158,Sanjay Leela Bhansali,"Ranveer Singh, Deepika Padukone, Priyanka Chopra Jonas"
Bajrangi Bhaijaan (tt3863552),2047,7043,0.113,0.088,1,75,918.18,0,1,"Action, Adventure, Comedy",0,163,Kabir Khan,"Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui"
Bal Ganesh (tt6449730),1255,6390,0.19,0.1,1,3.75,69,1,0,"Animation, Family",0,105,Pankaj Sharma,"Ashar Shaikh, Adarsh Gautam, Namrata Sawhney"
Bala (tt9420648),2923,12913,0.147,0.095,1,35,172,0,0,Comedy,0,133,Amar Kaushik,"Ayushmann Khurrana, Bhumi Pednekar, Yami Gautam"
Balwinder Singh Famous Ho Gaya (tt4087770),3494,16950,0.155,0.081,1,7,0.57,0,0,Comedy,0,136,Sunil Agnihotri,"Govardhan Asrani, Gabriela Bertante, Mikhill Chandiramani"
Bamfaad (tt11730940),1723,7948,0.136,0.105,1,5,3,0,0,Romance,0,102,Ranjan Chandel,"Aditya Rawal, Shalini Pandey, Vijay Varma"
Banaras (tt0449189),1083,4796,0.17,0.084,1,6,3,0,0,"Musical, Drama",0,122,Pankaj Parashar,"Urmila Matondkar, Ashmit Patel, Dimple Kapadia"
Band Baaja Baaraat (tt1610452),2745,12692,0.153,0.097,1,13,96,0,0,"Comedy, Drama, Romance",0,139,Maneesh Sharma,"Ranveer Singh, Anushka Sharma, Ranjit Batra"
Bandook (tt2318401),1502,7348,0.137,0.143,-0.998,4,2.1,0,0,"Crime, Thriller",1,132,Aditya Om,"Manisha Kelkar, Arshad Khan, Ashish Kotwal"
Bangistan (tt3422462),1539,7060,0.189,0.133,1,29,8.6,0,0,"Comedy, Drama",0,135,Karan Anshuman,"Jacqueline Fernandez, Riteish Deshmukh, Michalina Olszanska"
Banjo (tt5755606),2530,9006,0.202,0.098,1,13.24,12.22,0,0,"Action, Drama, Music",0,137,Ravi Jadhav,"Riteish Deshmukh, Nargis Fakhri, Aditya Kumar"
