Movie_Name,Total_Dialogues,Total_Words,Positive_Emotion,Negative_Emotion,Overall_Vibe,Budget,Revenue,Is_Sequel,Holiday_Release,Genre,Is_A_Rated,Runtime,Director,Actors
Chalo Ishq Ladaaye (tt0348824),854,6056,0.151,0.137,0.996,4,1.7,0,0,"Action, Comedy, Romance",0,140,Aziz Sejawal,"Govinda, Kader Khan, Rani Mukerji"
Chalte Chalte (tt0346723),2932,15221,0.151,0.101,1,11,43.28,0,0,"Drama, Romance",0,167,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji, Jas Arora"
Chaman Bahaar (tt8747450),1836,7119,0.164,0.089,1,2,7,0,0,"Comedy, Drama",0,111,Apurva Dhar Badgaiyan,"Jitendra Kumar, Ritika Badiani, Bhuvan Arora"
Chance Pe Dance (tt1392744),669,3239,0.139,0.069,1,29,32.21,0,0,"Comedy, Drama, Music",0,122,Ken Ghosh,"Shahid Kapoor, Genelia Deshmukh, Mohnish Behl"
Chandigarh Kare Aashiqui (tt12861850),2236,10013,0.177,0.114,1,40,41.23,0,0,"Crime, Drama",0,117,Abhishek Kapoor,"Ayushmann Khurrana, Vaani Kapoor, Yograj Singh"
Chandni Bar (tt0267363),2526,9756,0.113,0.094,1,1.5,6.68,0,0,"Crime, Drama",1,150,Madhur Bhandarkar,"Tabu, Atul Kulkarni, Rajpal Naurang Yadav"
Chandu Champion (tt27470893),1956,8039,0.208,0.101,1,140,96,0,0,"Action, Biography, Drama",0,142,Kabir Khan,"Kartik Aaryan, Vijay Raaz, Bhuvan Arora"
Charlie Kay Chakkar Mein (tt2190820),2507,12092,0.116,0.139,-1,3.5,0.01,0,0,Thriller,1,102,Manish Srivastav,"Naseeruddin Shah, Nishant Lal, Disha Arora"
Chashme Baddoor (tt2229848),2692,11458,0.21,0.109,1,22,59.07,0,0,"Comedy, Drama",0,121,David Dhawan,"Ali Zafar, Siddharth, Divyendu Sharma"
Chatrapathi (tt13545522),2149,9281,0.143,0.113,1,50,3,0,0,"Action, Drama",0,124,"V.V. Vinayak, Safdar Abbas","Sai Srinivas Bellamkonda, Nushrratt Bharuccha, Karan Singh Chhabra"
Chatur Singh Two Star (tt1363363),2184,12324,0.122,0.123,-0.998,25,3.2,0,0,"Action, Adventure, Comedy",0,110,Ajay Chandhok,"Sanjay Dutt, Ameesha Patel, Anupam Kher"
Cheeni Kum (tt0976026),1211,5175,0.151,0.14,0.998,11,32.3,0,0,"Comedy, Drama, Romance",0,140,R Balki,"Amitabh Bachchan, Tabu, Paresh Rawal"
Chehraa (tt0449870),953,4210,0.13,0.132,-0.995,4,0.42,0,0,Thriller,0,136,Saurabh Shukla,"Bipasha Basu, Dino Morea, Preeti Jhangiani"
Chehre (tt10309902),2705,12011,0.177,0.144,1,30,8.26,0,0,"Drama, Mystery, Thriller",0,139,Rumi Jaffery,"Amitabh Bachchan, Emraan Hashmi, Krystle D'Souza"
Chennai Express (tt2112124),1920,10078,0.143,0.108,1,115,424,0,1,"Action, Comedy, Romance",0,141,Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj"
Chhaava (tt27922706),1793,8043,0.175,0.108,1,130,797,0,0,"Action, Drama, History",0,161,Laxman Utekar,"Vicky Kaushal, Akshaye Khanna, Rashmika Mandanna"
Chhalaang (tt8983164),2877,13081,0.158,0.089,1,15,17,0,1,"Comedy, Drama, Sport",0,136,Hansal Mehta,"Rajkummar Rao, Nushrratt Bharuccha, Mohd. Zeeshan Ayyub"
Chhapaak (tt9614460),1876,8671,0.134,0.116,1,50,55.5,0,0,"Biography, Drama",0,120,Meghna Gulzar,"Deepika Padukone, Vikrant Massey, Madhurjeet Sarghi"
Chhatriwali (tt15516226),2619,10336,0.176,0.082,1,15,0.5,0,0,"Comedy, Drama",0,116,Tejas Prabha Vijay Deoskar,"Rakul Preet Singh, Sumeet Vyas, Satish Kaushik"
Chhodo Kal Ki Baatein (tt2343417),2225,10158,0.197,0.084,1,2,7.5,0,0,"Comedy, Drama, Family",0,128,Pramod Joshi,"Anupam Kher, Sachin Khedekar, Atul Parchure"
Chhorii (tt12861212),1206,5025,0.151,0.119,1,15,18,0,0,"Drama, Horror, Thriller",1,129,Vishal Furia,"Nushrratt Bharuccha, Mita Vashisht, Yaaneea Bharadwaj"
Chhorii 2 (tt16436848),1299,5363,0.144,0.108,1,50,2.82,1,0,Horror,1,132,Vishal Furia,"Nushrratt Bharuccha, Saurabh Goyal, Soha Ali Khan"
Chhota Bheem and the Curse of Damyaan (tt29114624),2144,9591,0.189,0.099,1,40,2.82,1,0,"Action, Adventure, Comedy",0,145,Rajiv Chilaka,"Yagya Bhasin, Sanjay Bishnoi, Shaji Chaudhary"
Chhota Bheem and the Throne of Bali (tt3324810),2144,9591,0.189,0.099,1,5,5.38,1,0,"Animation, Action, Adventure",0,130,Rajiv Chilaka,"Rupa Bhimani, Vivaan Bhimani, Parignya Pandya Shah"
